rank,file_sha,super_skill,tokenizer,tokenizer_package_version,description_tokens
1,5be498e2585843c7137bf9a74e262f57415de5ce,interface-design,cl100k_base,0.11.0,75
2,2f14076e59e6ce5cd6f88007421a85f0bd772520,software-delivery,cl100k_base,0.11.0,38
3,4726215301db64a0cc4d41fc3219c61f37a30f4a,software-delivery,cl100k_base,0.11.0,31
5,111d2a98c2698b5a202ddae8906f75f16ecfcffd,software-delivery,cl100k_base,0.11.0,16
6,4ea72cdf014d6b18223e4248ed9444bd3953445a,software-delivery,cl100k_base,0.11.0,33
7,48cfdabb87941fdce350f3d84b8e51f08b51eab9,application-engineering,cl100k_base,0.11.0,53
8,7a751fa946b7fd801feb504cb1af6b5b62adcf43,software-delivery,cl100k_base,0.11.0,13
10,8a1a77a47d141967b246adb4da4f91037578ff7d,agent-tooling-and-orchestration,cl100k_base,0.11.0,57
12,9f63fee82de84cd4230e1d0e322247b61eb4c94c,interface-design,cl100k_base,0.11.0,56
13,65b3a402dbd09b8e83f9d637c6b553875189085c,agent-tooling-and-orchestration,cl100k_base,0.11.0,60
16,16660d8ceb77af47986bba1c9176c2ff3f287a91,interface-design,cl100k_base,0.11.0,44
17,634f6fa42e4e697fa6afd293acd7fb8246574876,interface-design,cl100k_base,0.11.0,58
19,a6a3f5a0798318edb6ccef716cfecce92a50d914,agent-tooling-and-orchestration,cl100k_base,0.11.0,19
20,bd04394c675ee54173a093c50eb74da01a2940fa,reasoning-modes,cl100k_base,0.11.0,45
21,06cd0a21ee771f6bb7aaba9341a77ca09a8c7d04,reasoning-modes,cl100k_base,0.11.0,34
23,600b6db41fac7e2081c7528ec6982960892c819d,interface-design,cl100k_base,0.11.0,40
26,b7f86598b002c99a6be96026443217b6af3c561d,agent-tooling-and-orchestration,cl100k_base,0.11.0,42
29,a64d6c233a6293c05ab70f67156cc7e30284232a,interface-design,cl100k_base,0.11.0,232
30,ceae92ab319216a68274168fba9b63b998b65997,interface-design,cl100k_base,0.11.0,39
31,c3b73d8b10ba2539da543f069aabf1d156071176,agent-tooling-and-orchestration,cl100k_base,0.11.0,16
32,114c6637a18676ac99b8bd34ffc7c9da61d072cb,agent-tooling-and-orchestration,cl100k_base,0.11.0,63
33,d07025bf943345bc1cf15eb923594f889ff881f0,application-engineering,cl100k_base,0.11.0,51
34,d9ef1949f807d0b41ca85d9a0837ad78bf1c58de,application-engineering,cl100k_base,0.11.0,33
35,9470cfcfe231a35e46494cddbacdd395991afb1e,reasoning-modes,cl100k_base,0.11.0,10
36,c797184ee66bbfd8b60c58b5efdb91880ae8e991,agent-tooling-and-orchestration,cl100k_base,0.11.0,63
37,33b14859f2bcd944e800d9f4dc4d71940100effa,agent-tooling-and-orchestration,cl100k_base,0.11.0,19
38,ed55bda2fdb0d690ea3b80a1cf28bf848c5ad2b5,software-delivery,cl100k_base,0.11.0,64
39,c308b43b4b6a856f8d721c594f0907af614b8e2e,software-delivery,cl100k_base,0.11.0,37
40,e153843cd17ae234c1f2446ba55019d6a128e18e,software-delivery,cl100k_base,0.11.0,29
41,237988de4a66dd8a71d30a2c24ebe1a86b58d04e,application-engineering,cl100k_base,0.11.0,59
42,44ead27ef04ffe79ade0c6df7fd696dbcf7b246b,interface-design,cl100k_base,0.11.0,30
43,1e7a5dc728fed0a85a28c9dfb6e78ce5a81da7db,reasoning-modes,cl100k_base,0.11.0,38
44,c8a857024b80bd3a3553cdfac9a92bec3bd0175e,agent-tooling-and-orchestration,cl100k_base,0.11.0,25
45,f5375b908340e1376ed391232a31c5d82d5babfb,interface-design,cl100k_base,0.11.0,52
46,decdff43d05908b4c1fc2cfd2d80fc5743440934,interface-design,cl100k_base,0.11.0,38
47,c8304f0c9301385e3641b052d6b25b8af11cb6c1,interface-design,cl100k_base,0.11.0,39
48,73401865dd7440a43c5243b107a3763e0d2f4aae,application-engineering,cl100k_base,0.11.0,51
49,85770a38992a7c74d2b3467b03fe5bd4b1287fe6,reasoning-modes,cl100k_base,0.11.0,65
50,d056bd183229ca93bd41cf1b8c10c6fd1f30e75f,application-engineering,cl100k_base,0.11.0,39
51,b72132fcd466da605623ffe96e370b3991fc5285,interface-design,cl100k_base,0.11.0,55
52,1ad7750e572f8e28ce21090dc1049fa7eecd8cae,application-engineering,cl100k_base,0.11.0,59
53,437896b40cc30d87f617661c4f12ba424d303fe4,application-engineering,cl100k_base,0.11.0,32
54,e67f94c57322affec23f8a02268834b2d0e9ae70,software-delivery,cl100k_base,0.11.0,17
55,7339c8a38d6c2e1ee5fd721327bca3441a9408be,agent-tooling-and-orchestration,cl100k_base,0.11.0,30
56,03ed209b8fdc0a3cd6bccf8a5b3bfffe56aa4558,interface-design,cl100k_base,0.11.0,68
57,0d9c00ba7c3107e76fd0fb71f7f8e337e64b5037,software-delivery,cl100k_base,0.11.0,17
58,43da0ae169d3e7ee0f4586cf720430829ad2f426,software-delivery,cl100k_base,0.11.0,37
59,f0e33952c8d614b8d0d3fd3f037b81c91b148f39,software-delivery,cl100k_base,0.11.0,17
60,1ebc6e14c126792dd48d946beb983e7519a7dac4,agent-tooling-and-orchestration,cl100k_base,0.11.0,115
61,4dea97a8c9759cb81a7541c504a2dbba9c4a3e64,game-development,cl100k_base,0.11.0,15
62,4038f41ec0137ec92e98ed0151fe3b7038b9329e,interface-design,cl100k_base,0.11.0,47
63,40699358f2f8098e860838cd68b0382a31c72262,agent-tooling-and-orchestration,cl100k_base,0.11.0,42
64,a5830a8675523c1397288e92ff66d9c6724f4503,interface-design,cl100k_base,0.11.0,21
65,77ad3c257a12c7a88740161f3c086203fd2775db,game-development,cl100k_base,0.11.0,14
66,6be120e7769b76216f2dfb1f28b7e8727a3e8f03,game-development,cl100k_base,0.11.0,16
67,a45aca06d84dfd2a5297ba162704d456574a6df8,application-engineering,cl100k_base,0.11.0,28
68,f2a8f8dd25042425387d23f35b53e5c237178dcf,interface-design,cl100k_base,0.11.0,86
69,cfbcba0c8d36e5dd8a20ad00c6e9df53ec4a1341,interface-design,cl100k_base,0.11.0,49
70,313626ac2f4c9c65f7b8267fdc974abb1dc797d3,agent-tooling-and-orchestration,cl100k_base,0.11.0,49
71,d19f8de112252ea88724c540647cad85b7653d46,interface-design,cl100k_base,0.11.0,112
72,5150b18632aab99596c87d38cbf56709c1068028,agent-tooling-and-orchestration,cl100k_base,0.11.0,12
73,0563199141a715ca7fd1aaaccfb4ac767b1d6f26,software-delivery,cl100k_base,0.11.0,28
74,f91d0065a6273a16425c3e4c54ad900bfe91a956,game-development,cl100k_base,0.11.0,15
75,fe7c8d90c85bd0de5640f7c4db522659537bbb5e,software-delivery,cl100k_base,0.11.0,17
76,1c4a37fb294a02d1fab922ea4fb7542c8e5e1432,interface-design,cl100k_base,0.11.0,138
77,ccc3a2f84f529ee7faafcfe0a71678447675056f,interface-design,cl100k_base,0.11.0,34
78,a3f8d24b4b328b27db5d0c415b57b252e007a118,game-development,cl100k_base,0.11.0,16
79,bd42475e6672bb49969bba928575a775cb8ec76c,game-development,cl100k_base,0.11.0,13
80,34b8340486d06fcfd5d25a08fa1435b15b234eea,software-delivery,cl100k_base,0.11.0,17
81,847412ece1ee0c3582f7c04d1f2f7db2988dba1c,software-delivery,cl100k_base,0.11.0,17
82,97f16882f1b6f6388ed2f4b96635f52ac7c92859,systems-and-security,cl100k_base,0.11.0,23
83,d76399f666af97ac8c142928e02602d9732e78aa,interface-design,cl100k_base,0.11.0,86
84,fbd4bef4b487db377aa9f5c3989cb6be14e82421,application-engineering,cl100k_base,0.11.0,23
85,20886339dba853832087af4cb71c80389d5cad2c,game-development,cl100k_base,0.11.0,15
86,57f4e58b10cec3b0d2b3eccfd510201fefa140eb,agent-tooling-and-orchestration,cl100k_base,0.11.0,43
87,1b0459cad42ca0bc93f1ed6377f68402dfa9704d,systems-and-security,cl100k_base,0.11.0,14
89,a591862734d39d188a6741874b2678702617f038,software-delivery,cl100k_base,0.11.0,17
90,c9ef8a261f80e0c37dc73300ce90679e946c4407,agent-tooling-and-orchestration,cl100k_base,0.11.0,57
91,48f4adbfc00f79e447f9c9ebd48044f58aaccdca,software-delivery,cl100k_base,0.11.0,68
92,164e31ccea0175347681dd64657f3d316878a94c,application-engineering,cl100k_base,0.11.0,26
93,f5abcacc8f71810416ace2eddc6507c70a5872db,application-engineering,cl100k_base,0.11.0,26
94,2fd19ba1e67d66ee97b178e6691611b9975a82d3,reasoning-modes,cl100k_base,0.11.0,34
95,40c24a0b3f17317bce3022489e3be7d333724895,application-engineering,cl100k_base,0.11.0,20
96,0218363b61adb75713c014a4856bfe3a7de65419,interface-design,cl100k_base,0.11.0,43
97,134d37140b1b21560f9bab28476a8c06406d64df,software-delivery,cl100k_base,0.11.0,30
98,4776fcf741c14e0579b0927a44c976a40dc7d378,systems-and-security,cl100k_base,0.11.0,25
99,035a1960a4e8a87d1cdc10fd1d1d63d4855e5409,interface-design,cl100k_base,0.11.0,33
100,7def430731339070bd67db56ac45e1728e3c0eb6,application-engineering,cl100k_base,0.11.0,28
101,3e4f6ad3411d31cd53c90f3d7e1d6e266cd211f8,application-engineering,cl100k_base,0.11.0,28
102,e392706af5d1b6b7c03738526c1251f122873f1e,marketing-and-growth,cl100k_base,0.11.0,56
107,d943c68219d0f47512f10c5018a11fd8358e9bb5,software-delivery,cl100k_base,0.11.0,53
125,682fea80b08a35552266feea7be97c6f6659e2dc,marketing-and-growth,cl100k_base,0.11.0,18
131,12ffa034b4f40ccd989ab3a2413bae8c424d1c26,marketing-and-growth,cl100k_base,0.11.0,47
142,c438c4ad53664664fbe607084fc3c12276e3ed7c,application-engineering,cl100k_base,0.11.0,25
148,d0f7e1a5ccb06a7184056ff9af02b67bc77f9dda,application-engineering,cl100k_base,0.11.0,40
193,29cd83411d3a5daddf26944a2a8e9bbd4b3febcf,agent-tooling-and-orchestration,cl100k_base,0.11.0,19
209,82df6a6ecf8a81e9ff265fe2d70cabb44b0ebc6c,connected-service-automation,cl100k_base,0.11.0,15
233,7576b5416502e93f3c5cf9d1009850d1c597ea94,agent-tooling-and-orchestration,cl100k_base,0.11.0,18
255,4fc69f4c288f26a1c0aedc166789795671d2204b,marketing-and-growth,cl100k_base,0.11.0,49
294,61e8cf76d9a4a8f8e6cad3d7458170cecb719242,connected-service-automation,cl100k_base,0.11.0,52
299,8b56d81529300eac854fafe1c5a663e0dd9d142b,data-science-and-ml,cl100k_base,0.11.0,28
310,040da793fd869f9bd56803715c81648a9f5f0347,connected-service-automation,cl100k_base,0.11.0,14
344,be991103fe2b13f7e5f6f5da9d3c6029ad30ac64,agent-tooling-and-orchestration,cl100k_base,0.11.0,40
378,5b23873fb55490b805abbf4ae94817a53ed7580f,marketing-and-growth,cl100k_base,0.11.0,107
420,6b46eec7c8798ef0083348a083d1883d3ed9cf4a,connected-service-automation,cl100k_base,0.11.0,19
423,3651310a1a7f4dfe16bdf4dc03e1dc9dd76a1bc0,marketing-and-growth,cl100k_base,0.11.0,135
434,1ce5db8b86c52d53a2687a630e102e8355cfd101,connected-service-automation,cl100k_base,0.11.0,20
455,b3e150eb8418bff9081edc296ec1b5611cf8ffc7,marketing-and-growth,cl100k_base,0.11.0,127
456,c61c186893eb0afda5d391a9d1ad70f6edad11b9,data-science-and-ml,cl100k_base,0.11.0,86
466,4ba17e616350c0bb3e9dc3d25671a911b6da795e,marketing-and-growth,cl100k_base,0.11.0,108
502,cbf9adff01b55fd12511faea71da44b548b80c10,marketing-and-growth,cl100k_base,0.11.0,157
570,2bdffe5269a8b1a08e95d1a84825c3bf56c3adcf,marketing-and-growth,cl100k_base,0.11.0,173
648,5dd86483d389b69d51c5c20171b665225b37a13d,marketing-and-growth,cl100k_base,0.11.0,27
735,6d69f63f6dbaa57c525a1a32d1f37eb4412c8aa8,data-science-and-ml,cl100k_base,0.11.0,36
874,26615e089246c5cd619c03a71bad11cccb278764,marketing-and-growth,cl100k_base,0.11.0,81
905,9e16f446ff7601ba63cc898eca4eb47b12b663d2,data-science-and-ml,cl100k_base,0.11.0,32
929,af71b61cc7e430b42eb797cc37c7edad005ef2ce,marketing-and-growth,cl100k_base,0.11.0,139
931,acf77e503d9f9c0efb535365894be3339547adfd,marketing-and-growth,cl100k_base,0.11.0,139
980,6f920713034307123bd172b2828e2149bb0823b3,data-science-and-ml,cl100k_base,0.11.0,75
